Solution Name - Buffer Size,4000,8000,12000,16000,20000,24000,28000,32000,36000,40000
2Q,0.0,0.0,0.0,0.0,0.0,0.003,0.004,0.016,0.028,0.037
Belady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LFU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIRS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRFU,0.0,0.004,0.008,0.014,0.019,0.024,0.03,0.035,0.038,0.043
LRU,0.007,0.012,0.017,0.022,0.027,0.033,0.038,0.041,0.043,0.048
LRU-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQ,0.004,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0
NaiveLRU,0.007,0.012,0.017,0.021,0.027,0.032,0.038,0.043,0.046,0.05
