Solution Name - Buffer Size,200,400,600,800,1000,1200,1400,1600,1800,2000
2Q,0.016,0.021,0.032,0.046,0.064,0.079,0.107,0.135,0.17,0.208
Belady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LFU,0.017,0.002,0.003,0.017,0.018,0.029,0.048,0.059,0.076,0.093
LIRS,0.007,0.01,0.018,0.032,0.047,0.056,0.071,0.084,0.101,0.112
LRFU,0.017,0.003,0.007,0.01,0.017,0.026,0.04,0.052,0.074,0.09
LRU,0.021,0.042,0.057,0.076,0.094,0.108,0.126,0.136,0.152,0.164
LRU-2,0.01,0.007,0.017,0.027,0.04,0.044,0.054,0.068,0.088,0.102
MQ,0.014,0.018,0.009,0.008,0.01,0.012,0.024,0.039,0.065,0.084
NaiveLRU,0.02,0.039,0.058,0.077,0.102,0.13,0.158,0.183,0.209,0.221
